CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen
JUAN BAUTISTA ALBERDI AV.,"6378","alberdi j bautista,av 6378",-58.50675,-34.655347,"9",MATADEROS,"63",V,"88",V,,,,,,,,
JUAN BAUTISTA ALBERDI AV.,"5083","5083 ALBERDI, JUAN BAUTISTA AV.",-58.496588,-34.646033,"9",MATADEROS,"63",I,"180",I,,,,,,,,
ALMAFUERTE AV.,"442",Almafuerte 442,-58.413259,-34.643289,"4",PARQUE PATRICIOS,"115",V,"164",V,"6",V,,,,,,
ALMAFUERTE AV.,"660",ALMAFUERTE AV. 660,-58.414144,-34.64517,"4",NUEVA POMPEYA,"28",V,"128",V,,,,,,,,
ALMAFUERTE AV.,"632",ALMAFUERTE AV. 632,-58.413969,-34.644849,"4",NUEVA POMPEYA,"115",V,"164",V,,,,,,,,
ALMAFUERTE AV.,"632",ALMAFUERTE AV. 634,-58.413969,-34.644849,"4",NUEVA POMPEYA,"6",V,,,,,,,,,,
ALMAFUERTE AV.,"826",ALMAFUERTE AV. 826,-58.41552,-34.647472,"4",NUEVA POMPEYA,"31",V,,,,,,,,,,
ALMAFUERTE AV.,"644",ALMAFUERTE AV. 644,-58.414066,-34.645027,"4",NUEVA POMPEYA,"32",V,"75",V,,,,,,,,
ALMAFUERTE AV.,"644",ALMAFUERTE AV. 644,-58.414066,-34.645027,"4",NUEVA POMPEYA,"31",V,,,,,,,,,,
ALMTE. BROWN AV.,"1055","1055 BROWN, ALTE. AV.",-58.359695,-34.634099,"4",LA BOCA,"25",I,"152",V,"86",V,,,,,,
ALMTE. BROWN AV.,"1077","AV. BROWN, ALTE. 1077",-58.359546,-34.634326,"4",LA BOCA,"33",I,"64",V,,,,,,,,
ALMTE. BROWN AV.,"1089","1089 BROWN, ALTE. AV.",-58.35954,-34.634336,"4",LA BOCA,"29",V,"53",V,,,,,,,,
ALVAREZ THOMAS AV.,"579",ALVAREZ THOMAS AV. 579,-58.450672,-34.580501,"13",COLEGIALES,"176",I,"76",I,,,,,,,,
ALVAREZ THOMAS AV.,"608",ALVAREZ THOMAS AV. 608,-58.451317,-34.580486,"15",CHACARITA,"140",V,,,,,,,,,,
ALVAREZ THOMAS AV.,"831",ALVAREZ THOMAS AV. 831,-58.453562,-34.579553,"13",COLEGIALES,"176",I,"76",I,,,,,,,,
ALVAREZ THOMAS AV.,"893",ALVAREZ THOMAS AV. 893,-58.454655,-34.579203,"13",COLEGIALES,"93",V,,,,,,,,,,
AMANCIO ALCORTA AV.,"3770",AMANCIO ALCORTAQ 3770,-58.41204,-34.654848,"4",NUEVA POMPEYA,"42",I,"46",V,,,,,,,,
ANGEL GALLARDO AV.,"195",Angel Gallardo 195,-58.434982,-34.603409,"15",VILLA CRESPO,"71",I,"92",V,"99",V,,,,,,
AQUINO,"5267",aquino 5267,-58.47366,-34.671706,"8",VILLA LUGANO,"143",I,,,,,,,,,,
ARGERICH,"1138",Argerich 1138,-58.475837,-34.620809,"11",VILLA SANTA RITA,"106",I,,,,,,,,,,
GRAL. JOSE GERVASIO ARTIGAS,"1695",Artigas 1695,-58.473954,-34.611606,"11",VILLA GRAL MITRE,"113",V,,,,,,,,,,
GRAL. JOSE GERVASIO ARTIGAS,"1451",Artigas 1449,-58.471878,-34.614204,"11",VILLA GRAL MITRE,"113",V,,,,,,,,,,
ASAMBLEA AV.,"647",asamblea 647,-58.434804,-34.634348,"7",PARQUE CHACABUCO,"4",V,"7",I,"134",V,,,,,,
AVELLANEDA AV.,"3044",Av avellaneda 3044,-58.47371,-34.627079,"7",FLORES,"99",I,"172",V,,,,,,,,
FRANCISCO BEIRO AV.,"4983",Av Beiro 4983,-58.520285,-34.610984,"11",VILLA DEVOTO,"108",I,"80",I,"146",I,,,,,,
CARABOBO AV.,"1189",Av Carabobo 1189,-58.449859,-34.638798,"7",FLORES,"133",V,,,,,,,,,,
CASEROS AV.,"2250",Av Caseros 2250,-58.392208,-34.634621,"4",PARQUE PATRICIOS,"25",V,"9",V,,,,,,,,
CASEROS AV.,"2300",Av Caseros 2300,-58.395256,-34.635218,"4",PARQUE PATRICIOS,"95",I,"134",I,,,,,,,,
CHICLANA AV.,"3520",Av chiclana 3520,-58.413988,-34.636259,"5",BOEDO,"143",V,,,,,,,,,,
CHICLANA AV.,"3312",Av chiclana 3312,-58.411245,-34.634556,"5",BOEDO,"143",V,,,,,,,,,,
CHORROARIN AV.,"751",Av chorroarin 751,-58.472307,-34.588694,"15",PATERNAL,"113",V,,,,,,,,,,
CORDOBA AV.,"5981",5981 CORDOBA AV.,-58.444338,-34.58472,"14",PALERMO,"151",I,"168",I,,,,,,,,
CORDOBA AV.,"6197",6197 CORDOBA AV.,-58.447301,-34.583333,"15",CHACARITA,"39",I,"140",I,"168",I,,,,,,
CORDOBA AV.,"6479",6479 CORDOBA,-58.450449,-34.582113,"15",CHACARITA,"39",I,"168",I,,,,,,,,
CORRIENTES AV.,"4782",Av Corrientes 4782,-58.433319,-34.60179,"15",VILLA CRESPO,"19",V,"90",V,,,,,,,,
CORRIENTES AV.,"5024",Av Corrientes 5022,-58.436805,-34.600618,"15",VILLA CRESPO,"90",V,,,,,,,,,,
CORRIENTES AV.,"5878",Av Corrientes 5878,-58.444848,-34.594378,"15",VILLA CRESPO,"65",V,"127",V,,,,,,,,
CORRIENTES AV.,"4774",Av Corrientes 4774,-58.433146,-34.601848,"15",VILLA CRESPO,"71",V,"92",V,,,,,,,,
CORRIENTES AV.,"4562",Av Corrientes 4562,-58.429534,-34.602404,"5",ALMAGRO,"71",V,"19",V,,,,,,,,
CORRIENTES AV.,"4752",Av Corrientes 4752,-58.432991,-34.6019,"15",VILLA CRESPO,"24",I,"124",V,,,,,,,,
CORRIENTES AV.,"5554",Av Corrientes 5554,-58.442195,-34.596842,"15",VILLA CRESPO,"127",V,,,,,,,,,,
CORRIENTES AV.,"4744",Av Corrientes 4744,-58.432919,-34.601924,"15",VILLA CRESPO,"127",V,,,,,,,,,,
CORRIENTES AV.,"4720",Av Corrientes 4720,-58.432721,-34.60199,"15",VILLA CRESPO,"99",I,"109",I,,,,,,,,
